barcode,age_category,round,treatment,hours,R_mean,R_sd,R_median,G_mean,G_sd,G_median,B_mean,B_sd,B_median
UCSB-IZC00041536,collections,2,dry,7,58.162,36.583,61,95.094,44.309,98,47.93,23.551,49
UCSB-IZC00041550,collections,2,dry,7,19.842,23.849,6,112.974,39.045,112,82.647,31.758,82
UCSB-IZC00042037,collections,2,humid,7,64.125,37.607,67,88.314,42.897,92,46.908,25.243,49
UCSB-IZC00042297,collections,2,humid,7,83.349,41.594,84,98.296,45.525,102,45.077,21.441,47
UCSB-IZC00043430,collections,2,humid,7,57.638,38.841,57,88.153,49.024,87,38.47,22.008,39
UCSB-IZC00047045,collections,2,dry,7,28.241,29.902,18,71.94,45.053,71,47.834,30.531,48
UCSB-IZC00030039,collections,2,humid,24,54.429,38.201,56,88.028,47.993,90,45.608,29.193,45
UCSB-IZC00030369,collections,2,humid,24,87.467,34.519,93,100.193,40.764,99,45.579,21.303,45
UCSB-IZC00036314,collections,2,dry,24,18.822,24.126,7,40.569,37.34,29,43.179,37.577,33
UCSB-IZC00036602,collections,2,humid,24,101.08,43.669,107,88.851,37.973,95,38.601,19.067,40
UCSB-IZC00037139,collections,2,dry,24,49.865,30.493,50,76.842,34.52,80,44.288,24.38,46
UCSB-IZC00038809,collections,2,dry,24,32.398,29.942,27,72.095,42.152,74,42.971,28.01,44
UCSB-IZC00041536,collections,2,dry,24,30.269,32.831,17,92.064,49.342,91,69.465,40.681,66
UCSB-IZC00041550,collections,2,dry,24,16.099,22.206,4,77.021,43.526,75,61.217,36.338,60
UCSB-IZC00042037,collections,2,humid,24,61.421,33.498,64,78.31,40.014,79,36.457,21.754,38
UCSB-IZC00042297,collections,2,humid,24,92.172,47.614,92,88.563,44.44,89,35.693,19.342,37
UCSB-IZC00043430,collections,2,humid,24,65.317,41.275,66,81.332,42.828,84,31.281,19.637,33
UCSB-IZC00047045,collections,2,dry,24,25.456,29.243,13,85.864,47.844,85,58.146,35.113,59
UCSB-IZC00030039,collections,2,humid,31,58.421,37.172,60,91.375,43.579,93,41.408,23.286,42
UCSB-IZC00030369,collections,2,humid,31,100.769,39.689,103,114.099,39.399,115,41.385,19.477,41
UCSB-IZC00036314,collections,2,dry,31,17.017,24.011,4,39.743,33.251,30,43.279,35.556,34
UCSB-IZC00036602,collections,2,humid,31,86.622,49.679,92,76.332,42.645,82,30.142,22.069,32
UCSB-IZC00037139,collections,2,dry,31,41.026,32.439,37,65.35,37.805,65,33.81,25.292,35
UCSB-IZC00038809,collections,2,dry,31,33.274,31.936,28,85.434,41.458,87,53.986,29.419,54
UCSB-IZC00041536,collections,2,dry,31,26.464,31.845,11,77.731,47.87,76,57.234,41.348,54
UCSB-IZC00041550,collections,2,dry,31,14.355,21.787,3,77.449,39.674,78,61.176,33.842,62
UCSB-IZC00042037,collections,2,humid,31,82.529,40.418,89,102.121,43.002,108,45.536,24.005,48
UCSB-IZC00042297,collections,2,humid,31,88.618,49.559,88,85.211,46.018,87,30.823,21.451,32
UCSB-IZC00043430,collections,2,humid,31,87.071,43.635,92,104.84,45.44,110,37.02,22.927,36
